arm,brief,replicate,state,raw_candidates,pool_size,distinct_k,pool_diversity,collapse_rate,input_tokens,output_tokens
S1-ELOW,biz-02,0,completed,30,26,26,0.412412,0.133333,359,995
S1-ELOW,biz-02,1,completed,30,22,22,0.380718,0.266667,359,1064
S1-ELOW,biz-07,0,completed,29,23,23,0.387972,0.206897,358,1102
S1-ELOW,biz-07,1,completed,30,20,20,0.360166,0.333333,358,1292
S1-ELOW,prod-01,0,completed,30,30,30,0.399544,0.000000,362,1169
S1-ELOW,prod-01,1,completed,31,31,31,0.387548,0.000000,362,1367
S1-ELOW,prod-07,0,completed,30,25,25,0.387585,0.166667,488,1986
S1-ELOW,prod-07,1,completed,30,21,21,0.379609,0.300000,488,2082
S1-ELOW,prod-08,0,completed,30,28,28,0.448470,0.066667,362,1626
S1-ELOW,prod-08,1,completed,30,30,30,0.461722,0.000000,362,1224
S1-ELOW,sci-01,0,completed,30,28,28,0.411706,0.066667,345,1516
S1-ELOW,sci-01,1,completed,30,29,29,0.415960,0.033333,345,1713
S1-ELOW,sci-02,0,completed,30,28,28,0.397027,0.066667,345,1527
S1-ELOW,sci-02,1,completed,30,29,29,0.408092,0.033333,345,1432
S1-ELOW,sci-07,0,completed,30,27,27,0.366128,0.100000,347,1630
S1-ELOW,sci-07,1,completed,30,25,25,0.345376,0.166667,347,1487
S1-ELOW,aut-01,0,completed,30,27,27,0.447593,0.100000,339,961
S1-ELOW,aut-01,1,completed,30,28,28,0.469378,0.066667,339,880
S1-ELOW,aut-07,0,completed,30,28,28,0.467618,0.066667,341,1092
S1-ELOW,aut-07,1,completed,30,29,29,0.508061,0.033333,341,857
S1-ELOW,aut-08,0,completed,30,25,25,0.432453,0.166667,338,957
S1-ELOW,aut-08,1,completed,30,29,29,0.501987,0.033333,338,830
S1-EMAX,biz-01,0,completed,30,30,30,0.431385,0.000000,364,24735
S1-EMAX,biz-01,1,completed,30,29,29,0.442562,0.033333,364,15191
S1-EMAX,biz-02,0,completed,30,24,24,0.373780,0.200000,359,7865
S1-EMAX,biz-02,1,completed,30,27,27,0.386008,0.100000,359,10209
S1-EMAX,biz-07,0,completed,30,21,21,0.335602,0.300000,358,7054
S1-EMAX,biz-07,1,completed,30,22,22,0.379438,0.266667,358,6446
S1-EMAX,prod-01,0,completed,30,28,28,0.403199,0.066667,362,7745
S1-EMAX,prod-01,1,completed,30,28,28,0.407155,0.066667,362,5360
S1-EMAX,prod-07,0,completed,31,28,28,0.442136,0.096774,488,16430
S1-EMAX,prod-07,1,completed,30,28,28,0.424039,0.066667,488,26605
S1-EMAX,prod-08,0,completed,30,27,27,0.443905,0.100000,362,25661
S1-EMAX,prod-08,1,completed,30,26,26,0.412413,0.133333,362,20069
S1-EMAX,sci-01,0,completed,30,29,29,0.451405,0.033333,345,12395
S1-EMAX,sci-01,1,completed,30,30,30,0.481411,0.000000,345,11702
S1-EMAX,sci-02,0,completed,30,28,28,0.410960,0.066667,345,14012
S1-EMAX,sci-02,1,completed,30,29,29,0.444014,0.033333,345,15047
S1-EMAX,sci-07,0,completed,30,28,28,0.402284,0.066667,347,15552
S1-EMAX,sci-07,1,completed,30,28,28,0.415280,0.066667,347,22071
S1-EMAX,aut-01,0,completed,30,28,28,0.450850,0.066667,339,11235
S1-EMAX,aut-01,1,completed,30,28,28,0.444244,0.066667,339,13561
S1-EMAX,aut-07,0,completed,30,30,30,0.539009,0.000000,341,8850
S1-EMAX,aut-07,1,completed,30,29,29,0.519747,0.033333,341,23362
S1-EMAX,aut-08,0,completed,30,29,29,0.467102,0.033333,338,18758
S1-EMAX,aut-08,1,completed,30,30,30,0.543045,0.000000,338,13968
S1-SPRAG,biz-01,0,completed,30,30,30,0.487625,0.000000,395,3256
S1-SPRAG,biz-01,1,completed,30,28,28,0.442706,0.066667,395,2450
S1-SPRAG,biz-02,0,completed,30,25,25,0.397049,0.166667,390,2575
S1-SPRAG,biz-02,1,completed,31,26,26,0.414055,0.161290,390,2529
S1-SPRAG,biz-07,0,completed,31,21,21,0.348662,0.322581,389,2252
S1-SPRAG,biz-07,1,completed,30,18,18,0.350717,0.400000,389,2343
S1-SPRAG,prod-01,0,completed,30,27,27,0.399183,0.100000,393,1755
S1-SPRAG,prod-01,1,completed,30,29,29,0.428011,0.033333,393,1779
S1-SPRAG,prod-07,0,completed,30,24,24,0.416839,0.200000,519,4225
S1-SPRAG,prod-07,1,completed,30,18,18,0.342554,0.400000,519,2811
S1-SPRAG,prod-08,0,completed,31,29,29,0.461737,0.064516,393,3197
S1-SPRAG,prod-08,1,completed,30,25,25,0.389125,0.166667,393,3144
S1-SPRAG,sci-01,0,completed,30,30,30,0.488330,0.000000,376,2671
S1-SPRAG,sci-01,1,completed,30,30,30,0.477101,0.000000,376,2244
S1-SPRAG,sci-02,0,completed,30,28,28,0.400806,0.066667,376,2297
S1-SPRAG,sci-02,1,completed,30,28,28,0.402623,0.066667,376,2151
S1-SPRAG,sci-07,0,completed,30,27,27,0.413402,0.100000,378,2896
S1-SPRAG,sci-07,1,completed,11,9,9,0.441587,0.181818,378,2547
S1-SPRAG,aut-01,0,completed,31,21,21,0.382219,0.322581,370,1582
S1-SPRAG,aut-01,1,completed,30,26,26,0.404764,0.133333,370,1458
S1-SPRAG,aut-07,0,completed,31,27,27,0.447964,0.129032,372,1764
S1-SPRAG,aut-07,1,completed,29,23,23,0.424780,0.206897,372,1464
S1-SPRAG,aut-08,0,completed,30,29,29,0.478383,0.033333,369,2974
S1-SPRAG,aut-08,1,completed,30,28,28,0.448899,0.066667,369,1477
S1-SCONTRA,biz-01,0,completed,31,31,31,0.501523,0.000000,389,4166
S1-SCONTRA,biz-01,1,completed,31,30,30,0.556004,0.032258,389,3097
S1-SCONTRA,biz-02,0,completed,31,29,29,0.401492,0.064516,384,3452
S1-SCONTRA,biz-02,1,completed,30,23,23,0.372002,0.233333,384,2202
S1-SCONTRA,biz-07,0,completed,30,22,22,0.372617,0.266667,383,3917
S1-SCONTRA,biz-07,1,completed,31,25,25,0.391288,0.193548,383,3109
S1-SCONTRA,prod-01,0,completed,30,28,28,0.413808,0.066667,387,3197
S1-SCONTRA,prod-01,1,completed,30,29,29,0.431088,0.033333,387,3166
S1-SCONTRA,prod-07,0,completed,30,27,27,0.453450,0.100000,513,5494
S1-SCONTRA,prod-07,1,completed,30,29,29,0.436182,0.033333,513,5292
S1-SCONTRA,prod-08,0,completed,30,29,29,0.411973,0.033333,387,2916
S1-SCONTRA,prod-08,1,completed,30,28,28,0.444371,0.066667,387,3542
S1-SCONTRA,sci-01,0,completed,31,27,27,0.367452,0.129032,370,4276
S1-SCONTRA,sci-01,1,completed,30,22,22,0.352627,0.266667,370,3268
S1-SCONTRA,sci-02,0,completed,30,22,22,0.375887,0.266667,370,4700
S1-SCONTRA,sci-02,1,completed,31,25,25,0.388154,0.193548,370,4197
S1-SCONTRA,sci-07,0,completed,30,21,21,0.344678,0.300000,372,3156
S1-SCONTRA,sci-07,1,completed,30,26,26,0.371049,0.133333,372,4730
S1-SCONTRA,aut-01,0,completed,30,28,28,0.453028,0.066667,364,3188
S1-SCONTRA,aut-01,1,completed,30,28,28,0.421281,0.066667,364,2128
S1-SCONTRA,aut-07,0,completed,31,29,29,0.467661,0.064516,366,1750
S1-SCONTRA,aut-07,1,completed,31,31,31,0.506466,0.000000,366,2354
S1-SCONTRA,aut-08,0,completed,30,27,27,0.408825,0.100000,363,2098
S1-SCONTRA,aut-08,1,completed,30,27,27,0.455439,0.100000,363,3261
S1-DIRECT,biz-01,0,completed,30,28,28,0.438584,0.066667,282,1611
S1-DIRECT,biz-01,1,completed,31,30,30,0.470321,0.032258,282,2104
S1-DIRECT,biz-02,0,completed,30,23,23,0.366810,0.233333,277,3544
S1-DIRECT,biz-02,1,completed,30,22,22,0.352695,0.266667,277,1580
S1-DIRECT,biz-07,0,completed,30,20,20,0.346469,0.333333,276,3071
S1-DIRECT,biz-07,1,completed,31,21,21,0.339546,0.322581,276,2869
S1-DIRECT,prod-01,0,completed,30,29,29,0.400903,0.033333,280,1798
S1-DIRECT,prod-01,1,completed,30,28,28,0.434283,0.066667,280,2101
S1-DIRECT,prod-07,0,completed,30,21,21,0.361216,0.300000,406,3794
S1-DIRECT,prod-07,1,completed,30,20,20,0.360556,0.333333,406,3624
S1-DIRECT,prod-08,0,completed,30,29,29,0.449062,0.033333,280,3888
S1-DIRECT,prod-08,1,completed,30,25,25,0.411505,0.166667,280,2694
S1-DIRECT,sci-01,0,completed,30,29,29,0.441973,0.033333,263,2615
S1-DIRECT,sci-01,1,completed,30,27,27,0.430197,0.100000,263,3667
S1-DIRECT,sci-02,0,completed,30,25,25,0.391117,0.166667,263,2549
S1-DIRECT,sci-02,1,completed,30,28,28,0.391243,0.066667,263,1717
S1-DIRECT,sci-07,0,completed,33,26,26,0.352297,0.212121,265,3523
S1-DIRECT,sci-07,1,completed,30,26,26,0.363352,0.133333,265,3043
S1-DIRECT,aut-01,0,completed,30,29,29,0.442488,0.033333,257,1871
S1-DIRECT,aut-01,1,completed,30,29,29,0.450316,0.033333,257,1087
S1-DIRECT,aut-07,0,completed,30,27,27,0.480647,0.100000,259,1358
S1-DIRECT,aut-07,1,completed,30,27,27,0.471291,0.100000,259,1343
S1-DIRECT,aut-08,0,completed,30,30,30,0.509544,0.000000,256,2288
S1-DIRECT,aut-08,1,completed,30,30,30,0.536557,0.000000,256,1736
