arm,brief,replicate,state,raw_candidates,pool_size,distinct_k,pool_diversity,collapse_rate,input_tokens,output_tokens
S1B-SOLO60,prod-01,1,completed,63,63,58,0.424274,0.079365,3053,4521
S1B-SOLO60,prod-02,0,completed,62,62,51,0.389329,0.177419,2548,4589
S1B-SOLO60,prod-02,1,completed,62,62,45,0.362936,0.274194,2469,3853
S1B-SOLO60,prod-03,0,completed,60,60,59,0.601439,0.016667,1558,2466
S1B-SOLO60,prod-03,1,completed,61,61,61,0.632985,0.000000,1537,2512
S1B-SOLO60,prod-07,0,completed,60,60,35,0.355619,0.416667,3914,6207
S1B-SOLO60,prod-07,1,completed,60,60,36,0.382805,0.400000,3717,5951
S1B-SOLO60,prod-08,0,completed,60,60,54,0.466239,0.100000,1838,6708
S1B-SOLO60,prod-08,1,completed,62,62,55,0.436208,0.112903,3557,6776
S1B-SOLO60,prod-09,0,completed,61,61,61,0.555876,0.000000,3488,3308
S1B-SOLO60,prod-09,1,completed,60,60,60,0.529702,0.000000,1972,3739
S1B-SOLO60,sci-01,0,completed,60,60,55,0.434155,0.083333,1731,5424
S1B-SOLO60,sci-01,1,completed,62,62,54,0.422814,0.129032,1859,4723
S1B-SOLO60,sci-02,0,completed,60,60,51,0.430005,0.150000,1819,3807
S1B-SOLO60,sci-02,1,completed,59,59,48,0.411818,0.186441,3111,3930
S1B-SOLO60,sci-03,0,completed,63,63,63,0.456080,0.000000,1576,6556
S1B-SOLO60,sci-03,1,completed,60,60,55,0.437069,0.083333,1715,6415
S1B-SOLO60,sci-07,0,completed,60,60,40,0.350449,0.333333,1817,7028
S1B-SOLO60,sci-07,1,completed,60,60,47,0.381389,0.216667,3590,4250
S1B-SOLO60,sci-08,0,completed,60,60,57,0.431712,0.050000,2159,5424
S1B-SOLO60,sci-08,1,completed,65,65,58,0.429293,0.107692,2647,5973
S1B-SOLO60,sci-09,0,completed,63,63,62,0.495820,0.015873,1867,4919
S1B-SOLO60,sci-09,1,completed,63,63,62,0.475493,0.015873,2036,4787
